country,dates,genres,score,title,url,votes
United States,2023..,"[""Action"", ""Adventure"", ""Drama""]",9.2,The Last of Us,https://imdb.com/title/tt3581920/,156100
United States,2023..,"[""Comedy"", ""Drama"", ""Romance""]",6.5,That '90s Show,https://imdb.com/title/tt15591076/,17640
United States,2021..2023,"[""Comedy"", ""Drama""]",7.9,The White Lotus,https://imdb.com/title/tt13406094/,139742
United States,2023..,"[""Animation"", ""Adventure"", ""Comedy""]",1.4,Velma,https://imdb.com/title/tt14153790/,62162
United States,2018..,"[""Drama"", ""Western""]",8.7,Yellowstone,https://imdb.com/title/tt4236770/,158419
United States,2022..,"[""Comedy"", ""Crime"", ""Fantasy""]",8.2,Wednesday,https://imdb.com/title/tt13443470/,259982
United States,2021..,"[""Comedy"", ""Drama""]",7.5,Ginny & Georgia,https://imdb.com/title/tt10813940/,62232
United States,2023..,"[""Crime"", ""Drama"", ""Mystery""]",8.2,Poker Face,https://imdb.com/title/tt14269590/,5352
United States,2010..2022,"[""Drama"", ""Horror"", ""Thriller""]",8.1,The Walking Dead,https://imdb.com/title/tt1520211/,1004908
United States,1998..2006,"[""Comedy"", ""Drama"", ""Romance""]",8.1,That '70s Show,https://imdb.com/title/tt0165598/,178048
United States,2023..,"[""Comedy"", ""Drama""]",7.7,Shrinking,https://imdb.com/title/tt15677150/,3197
United States,2011..2019,"[""Action"", ""Adventure"", ""Drama""]",9.2,Game of Thrones,https://imdb.com/title/tt0944947/,2119496
United States,2023..,"[""Crime"", ""Drama""]",7.3,Accused,https://imdb.com/title/tt7949212/,1015
United States,2020..2023,"[""Crime"", ""Drama"", ""Mystery""]",7.2,Hunters,https://imdb.com/title/tt7456722/,45675
United States,2022..,"[""Crime"", ""Drama""]",8.2,Tulsa King,https://imdb.com/title/tt16358384/,34667
United States,2022..2023,"[""Drama"", ""Western""]",8.6,1923,https://imdb.com/title/tt18335752/,12721
United States,2008..,"[""Crime"", ""Drama"", ""Thriller""]",9.5,Breaking Bad,https://imdb.com/title/tt0903747/,1914034
United States,2022..,"[""Action"", ""Adventure"", ""Drama""]",7.3,Vikings: Valhalla,https://imdb.com/title/tt11311302/,46929
United States,2005..,"[""Crime"", ""Drama"", ""Mystery""]",8.1,Criminal Minds,https://imdb.com/title/tt0452046/,202431
United States,2021..,"[""Crime"", ""Drama"", ""Thriller""]",8.2,Mayor of Kingstown,https://imdb.com/title/tt11712058/,29369
United States,2020..2023,"[""Crime"", ""Drama"", ""Thriller""]",7.6,Your Honor,https://imdb.com/title/tt7440726/,50613
United States,2022..,"[""Animation"", ""Action"", ""Adventure""]",8.4,The Legend of Vox Machina,https://imdb.com/title/tt11247158/,28442
United States,2018..2023,"[""Action"", ""Comedy"", ""Drama""]",8.5,Cobra Kai,https://imdb.com/title/tt7221388/,189344
United States,2018..,"[""Action"", ""Drama"", ""Thriller""]",8.0,Jack Ryan,https://imdb.com/title/tt5057054/,142324
United States,2015..2022,"[""Crime"", ""Drama""]",8.9,Better Call Saul,https://imdb.com/title/tt3032476/,544521
United States,2013..,"[""Animation"", ""Adventure"", ""Comedy""]",9.1,Rick and Morty,https://imdb.com/title/tt2861424/,535062
United States,2023..,"[""Drama"", ""Fantasy"", ""Horror""]",5.9,Wolf Pack,https://imdb.com/title/tt15487922/,1770
United States,2019..,"[""Action"", ""Adventure"", ""Fantasy""]",8.7,The Mandalorian,https://imdb.com/title/tt8111088/,493852
United States,2022..,"[""Action"", ""Adventure"", ""Drama""]",8.5,House of the Dragon,https://imdb.com/title/tt11198330/,304214
United States,2019..,"[""Action"", ""Comedy"", ""Crime""]",8.7,The Boys,https://imdb.com/title/tt1190634/,521864
United States,2023..,"[""Drama"", ""Fantasy"", ""Horror""]",6.5,Mayfair Witches,https://imdb.com/title/tt15428778/,3832
United States,2005..2013,"[""Comedy""]",9.0,The Office,https://imdb.com/title/tt0386676/,614119
United States,2016..2024,"[""Drama"", ""Fantasy"", ""Horror""]",8.7,Stranger Things,https://imdb.com/title/tt4574334/,1208227
United States,1984..1992,"[""Comedy""]",7.7,Night Court,https://imdb.com/title/tt0086770/,15734
United States,2018..,"[""Drama""]",8.8,Succession,https://imdb.com/title/tt7660850/,155898
United States,2022..,"[""Action"", ""Adventure"", ""Drama""]",8.4,Andor,https://imdb.com/title/tt9253284/,117054
United States,1999..2007,"[""Crime"", ""Drama""]",9.2,The Sopranos,https://imdb.com/title/tt0141842/,407866
United States,2022..,"[""Drama"", ""Mystery"", ""Sci-Fi""]",8.7,Severance,https://imdb.com/title/tt11280740/,133878
United States,2005..,"[""Drama"", ""Romance""]",7.6,Grey's Anatomy,https://imdb.com/title/tt0413573/,313762
United States,2018..2023,"[""Drama""]",8.0,New Amsterdam,https://imdb.com/title/tt7817340/,41158
